Game Title,Platform,Link
Tiny Tina's assault on Dragon Keep,Epic,https://www.metacritic.com/game/pc/borderlands-2-tiny-tinas-assault-on-dragon-keep
Torchlight,Epic,https://www.metacritic.com/game/pc/torchlight
Torchlight II,Epic,https://www.metacritic.com/game/pc/torchlight-ii
Tormentor X Punisher,Epic,https://www.metacritic.com/game/pc/tormentor-x-punisher
Transistor,Epic,https://www.metacritic.com/game/pc/transistor
Tyranny - Gold Edition,Epic,https://www.metacritic.com/game/pc/tyranny
Void Bastards,Epic,https://www.metacritic.com/game/pc/void-bastards
Watch Dogs,Epic,https://www.metacritic.com/game/pc/watch-dogs
Watch Dogs 2,Epic,https://www.metacritic.com/game/pc/watch-dogs-2
Wheels of Aurelia,Epic,https://www.metacritic.com/game/pc/wheels-of-aurelia
World of Goo,Epic,https://www.metacritic.com/game/pc/world-of-goo
World War Z,Epic,https://www.metacritic.com/game/pc/world-war-z
Yoku's Island Express,Epic,https://www.metacritic.com/game/pc/yokus-island-express
Yooka-Laylee,Epic,https://www.metacritic.com/game/pc/yooka-laylee
>Observer,Amazon,https://www.metacritic.com/game/pc/observer
A Good Snowman is Hard to Build,Amazon,https://www.metacritic.com/game/pc/a-good-snowman-is-hard-to-build
AER Memories of Old,Amazon,https://www.metacritic.com/game/pc/aer-memories-of-old
Along the Edge,Amazon,https://www.metacritic.com/game/pc/along-the-edge
Alt-Frequencies,Amazon,https://www.metacritic.com/game/pc/alt-frequencies
Antihero,Amazon,https://www.metacritic.com/game/pc/antihero
Art of Fighting 2,Amazon,https://www.metacritic.com/game/pc/art-of-fighting-2
Autonauts,Amazon,https://www.metacritic.com/game/pc/autonauts
BAFL,Amazon,https://www.metacritic.com/game/pc/bafl-brakes-are-for-losers
Baseballstars 2,Amazon,https://www.metacritic.com/game/pc/baseball-stars-2
Batman the Telltale series,Amazon,https://www.metacritic.com/game/pc/batman-the-telltale-series
Battle Chef Brigade,Amazon,https://www.metacritic.com/game/pc/battle-chef-brigade
BFF or Die ,Amazon,https://www.metacritic.com/game/pc/bff-or-die
Blazing Star,Amazon,https://www.metacritic.com/game/pc/blazing-star
Bomber Crew,Amazon,https://www.metacritic.com/game/pc/bomber-crew
Bridge Constructor,Amazon,https://www.metacritic.com/game/pc/bridge-constructor
Bridge Constructor Playground,Amazon,https://www.metacritic.com/game/pc/bridge-constructor-playground
Broforce,Amazon,https://www.metacritic.com/game/pc/broforce
Broken Age ,Amazon,https://www.metacritic.com/game/pc/broken-age
Brutal Legend,Amazon,https://www.metacritic.com/game/pc/brutal-legend
Close to the Sun,Amazon,https://www.metacritic.com/game/pc/close-to-the-sun
Cosmic Express,Amazon,https://www.metacritic.com/game/pc/cosmic-express
Crossing Souls,Amazon,https://www.metacritic.com/game/pc/crossing-souls
The Darkside Detective,Amazon,https://www.metacritic.com/game/pc/the-darkside-detective
Darksiders II Deathinitive Edition,Amazon,https://www.metacritic.com/game/pc/darksiders-ii-deathinitive-edition
Darksiders Warmastered Edition,Amazon,https://www.metacritic.com/game/pc/darksiders-warmastered-edition
Dead Age,Amazon,https://www.metacritic.com/game/pc/dead-age
Dear Esther,Amazon,https://www.metacritic.com/game/pc/dear-esther
Death Squared,Amazon,https://www.metacritic.com/game/pc/death-squared
Demon Hunter 2,Amazon,https://www.metacritic.com/game/pc/demon-hunter-2-new-chapter
Deponia Doomsday,Amazon,https://www.metacritic.com/game/pc/deponia-doomsday
Devil May Cry HD collection,Amazon,https://www.metacritic.com/game/pc/devil-may-cry-hd-collection
Double Cross,Amazon,https://www.metacritic.com/game/pc/double-cross
Downwell,Amazon,https://www.metacritic.com/game/pc/downwell
Dub Wars,Amazon,https://www.metacritic.com/game/pc/dubwars
Effie,Amazon,https://www.metacritic.com/game/pc/effie
Fatal Fury Special,Amazon,https://www.metacritic.com/game/pc/fatal-fury-special
Framed Collection,Amazon,https://www.metacritic.com/game/pc/framed-collection
From Climbers,Amazon,NA
Mark of the Wolves,Amazon,https://www.metacritic.com/game/pc/garou-mark-of-the-wolves
Gonner,Amazon,https://www.metacritic.com/game/pc/gonner
Guild of Dungeoneering,Amazon,https://www.metacritic.com/game/pc/guild-of-dungeoneering
Gunpoint,Amazon,https://www.metacritic.com/game/pc/gunpoint
Hacknet,Amazon,https://www.metacritic.com/game/pc/hacknet
Heave Ho,Amazon,https://www.metacritic.com/game/pc/heave-ho
Hotline Miami,Amazon,https://www.metacritic.com/game/pc/hotline-miami
Hotline Miami 2,Amazon,https://www.metacritic.com/game/pc/hotline-miami-2-wrong-number
Hue,Amazon,https://www.metacritic.com/game/pc/hue
Hyper Light Drifter,Amazon,https://www.metacritic.com/game/pc/hyper-light-drifter
Hyper Dot,Amazon,https://www.metacritic.com/game/pc/hyperdot
Impulsion,Amazon,https://www.metacritic.com/game/pc/impulsion
Ironclad,Amazon,https://www.metacritic.com/game/pc/ironclad-tactics
Jay and Silent Bob Mall Brawl,Amazon,https://www.metacritic.com/game/pc/jay-and-silent-bob-mall-brawl
Jotun Valhalla Edition,Amazon,https://www.metacritic.com/game/pc/jotun
Ken Follet's the Pillars of the Earth,Amazon,https://www.metacritic.com/game/pc/ken-folletts-the-pillars-of-the-earth
 King of the Monsters,Amazon,https://www.metacritic.com/game/pc/king-of-the-monsters
Kingsway,Amazon,https://www.metacritic.com/game/pc/kingsway
Layers of Fear,Amazon,https://www.metacritic.com/game/pc/layers-of-fear
Liberated,Amazon,https://www.metacritic.com/game/pc/liberated
Lost in Harmony,Amazon,https://www.metacritic.com/game/pc/lost-in-harmony
Mana Spark,Amazon,https://www.metacritic.com/game/pc/mana-spark
Manual Samuel,Amazon,https://www.metacritic.com/game/pc/manual-samuel
Metal Slug 2,Amazon,https://www.metacritic.com/game/pc/metal-slug-2
Metal Slug 3,Amazon,https://www.metacritic.com/game/pc/metal-slug-3
Mugsters,Amazon,https://www.metacritic.com/game/pc/mugsters
Newfound Courage,Amazon,https://www.metacritic.com/game/pc/newfound-courage
Next Up Hero,Amazon,https://www.metacritic.com/game/pc/next-up-hero
Orwell Ignorance is Strength ,Amazon,https://www.metacritic.com/game/pc/orwell-ignorance-is-strength
Outcast Second Contact,Amazon,https://www.metacritic.com/game/playstation-4/outcast-second-contact
Overcooked! 2 ,Amazon,https://www.metacritic.com/game/pc/overcooked!-2
Overload,Amazon,https://www.metacritic.com/game/pc/overload
Pikuniku,Amazon,https://www.metacritic.com/game/pc/pikuniku
Pillars of Eternity - Definitive Edition,Amazon,https://www.metacritic.com/game/pc/pillars-of-eternity-definitive-edition
Planet Alpha,Amazon,https://www.metacritic.com/game/pc/planet-alpha
Poi,Amazon,https://www.metacritic.com/game/pc/poi
Psychonauts,Amazon,https://www.metacritic.com/game/pc/psychonauts
Pulstar,Amazon,https://www.metacritic.com/game/pc/pulstar-2014
Pumped BMX,Amazon,https://www.metacritic.com/game/pc/pumped-bmx-+
